Tag	GSM4101749	GSM4101750	GSM4101751	GSM4101752	GSM4101753	GSM4101754	GSM4101755	GSM4101756	GSM4101757	GSM4101758	GSM4101759	GSM4101760	GSM4101761
SNORD31B|SNORD31	7.75167	5.78652	6.61748	4.92235	6.28671	5.28701	5.8835	6.63992	6.87817	4.99224	5.34251	5.08648	6.10971
SNORD31|SNORD31B	2.67002	2.4119	2.85646	3.61356	2.44858	2.84588	2.24152	2.62765	2.71378	2.32993	2.47012	2.64976	2.44462
SNORD32B|SNORD32A	9.113455	9.46842	8.786175	6.8262	8.076305	8.15575	8.448045	8.224615	9.406045	7.886155	6.917255	7.89837	7.812725
SNORD33	13.0609	12.9671	12.7634	10.7525	11.9143	12.1684	12.2929	12.6393	12.911	12.1229	10.1969	11.8382	11.8245
SNORD34	8.80734	9.35956	8.51355	5.35245	7.08226	7.36775	7.76776	6.82063	9.16634	6.61534	5.94844	6.84026	6.54775
SNORD35A	9.59639	9.83348	9.81838	9.28936	10.7779	10.3699	10.4266	10.4756	12.1984	9.29062	9.42845	9.49459	9.80297
SNORD36A|RPL7A|SNORD36C	8.67524	7.23144	7.06505	6.12963	7.07421	5.66574	6.67812	5.98304	7.77944	6.26904	5.60178	5.93974	6.21542
SNORD36B	7.00383	5.36993	6.54531	4.50168	6.63249	6.8387	7.47316	6.33305	7.53698	6.47207	5.66621	5.62637	6.76322
SNORD37	4.68536	4.232	4.10523	3.06638	3.41559	4.24504	3.99812	4.74849	4.67611	3.25366	3.31465	3.49724	3.31688
SNORD38A	6.34904	6.03407	6.27911	3.96192	4.86494	4.86112	5.12539	6.6443	5.98507	4.11731	3.8787	3.90864	3.83125
SNORD38B|SNORD38D	7.26971	6.00872	6.04978	2.81193	3.77865	4.64187	5.01209	4.92992	6.00582	3.99514	3.03596	4.37694	3.06316
SNORD38C	2.1489	1.91769	2.16714	2.42142	2.01939	1.7396	2.16029	2.2732	1.85733	2.06098	1.92647	2.0509	1.93626
SNORD38D	2.20421	2.34118	2.28337	2.45601	2.58126	2.02604	2.02801	2.37698	2.14126	3.0863	2.15836	2.41235	2.30756
SNORD3E	3.26436	2.76084	2.96337	2.56565	2.54971	2.31692	2.61945	3.14929	2.3991	2.2555	2.44712	1.97603	2.84363
SNORD3F	2.36559	2.25676	2.45416	2.2082	2.02119	1.9054	1.89986	2.90713	1.85097	1.94331	2.00043	1.68152	2.67356
SNORD3G	5.8641	5.18659	5.15329	4.63802	4.52405	4.43655	5.07077	4.81906	4.44021	5.46996	4.25844	4.17766	5.38329
SNORD3H	4.19382	3.94935	4.27986	3.20166	3.7092	3.27218	3.84542	4.19706	3.31161	3.77007	3.63369	2.92235	4.13057
SNORD3J	4.19867	3.92533	4.13181	3.71142	3.72066	3.89377	3.9129	3.75663	3.80198	3.89777	3.78646	3.76921	3.96338
SNORD41	10.5753	11.0909	10.9776	9.8411	10.5901	11.7168	11.9287	11.156	12.3928	11.6601	8.01938	11.0826	11.2171
SNORD42A	9.80651	9.31534	9.25979	4.52269	5.77392	5.45139	6.84212	6.43373	6.54431	4.9985	4.63333	4.56497	5.00274
SNORD42B	9.51068	8.96821	8.7857	4.36318	5.27074	4.77238	6.58714	5.74309	6.48302	5.01189	4.28195	5.04541	4.56497
SNORD43	7.3799	7.8449	7.43448	5.79723	7.49779	7.21609	6.93752	7.77077	8.35499	5.73415	6.74403	5.50248	6.68609
SNORD44	11.6581	11.1318	10.639	5.45525	6.21797	5.46976	7.84304	7.55005	8.04006	5.79359	4.83922	5.92863	5.56953
SNORD45A	8.88518	9.38938	9.00945	8.59203	10.3362	9.80603	11.2545	9.41694	10.7757	10.9813	7.88768	9.79377	10.4349
SNORD45B	1.97526	2.21581	1.87808	2.26799	2.59239	2.44273	2.21105	2.16441	1.82649	2.32506	1.98202	2.10248	2.57496
SNORD45C	3.174225	2.894685	4.053875	2.934695	3.534705	3.09839	3.59964	3.43982	3.73635	3.379975	3.08793	3.13893	3.521825
SNORD46	11.8746	11.5249	11.0589	8.95303	9.94205	10.547	11.0634	10.1667	12.1039	9.30655	8.24066	9.37529	9.69827
SNORD47	11.5654	10.2796	10.4417	4.74834	6.88415	6.49083	8.35855	8.34985	8.97316	6.59569	5.49922	6.02528	7.39953
SNORD48	8.68863	9.72457	8.3881	6.77951	7.69752	9.54593	9.17114	8.3786	10.644	8.87328	6.13076	8.72063	8.44042
SNORD49A	3.68034	3.81751	3.89824	4.15221	4.08024	3.82167	4.12706	4.95111	5.03433	3.22714	3.54486	3.45502	3.94877
SNORD4A	4.49657	4.71695	4.64216	5.76719	6.53278	5.83471	6.03341	6.96894	7.8288	5.2639	5.12272	6.0841	5.47538
SNORD4B	4.5646	5.19449	4.92103	6.0613	6.99911	5.53308	6.61207	6.51754	8.0727	5.56432	5.15038	5.75092	4.83741
SNORD5	11.124	9.74039	9.91736	7.87226	9.33251	9.09573	9.35849	9.66079	10.7934	8.8833	8.34907	8.08788	8.77459
SNORD50A	8.11054	9.53679	8.74384	7.18415	6.93083	7.92053	9.81059	7.07288	9.01967	9.08055	6.63421	8.73458	8.90856
SNORD50B	5.79549	6.52034	6.26956	6.482915	6.37738	5.562005	6.222185	6.64688	6.406035	6.39723	5.999415	6.383175	6.49485
SNORD51	6.15683	4.75496	4.4259	3.54609	4.21698	3.16283	4.97898	3.68101	5.27128	4.17283	3.47003	3.89567	3.51195
SNORD52	7.68123	7.07842	6.89429	6.57106	6.66952	6.4653	6.66889	6.92448	8.39663	6.55158	5.21458	5.90449	5.76151
SNORD53	5.93252	5.97957	5.89277	6.43476	8.16845	7.4225	8.31931	8.13372	9.6952	7.41498	6.97247	7.14538	7.03601
SNORD53B	8.93161	8.65962	9.89711	6.92093	7.47663	7.27777	7.6034	8.21712	8.7957	7.58968	7.17783	7.22107	7.26192
